iter	Passed	Remaining
1543	18004	28638
1544	18015	28627
1545	18027	28614
1546	18037	28601
1547	18048	28588
1548	18059	28575
1549	18069	28562
1550	18080	28549
1551	18091	28535
1552	18101	28522
1553	18112	28509
1554	18122	28495
1555	18133	28482
1556	18144	28469
1557	18154	28454
1558	18165	28442
1559	18176	28429
1560	18186	28416
1561	18197	28403
1562	18209	28391
1563	18219	28377
1564	18230	28364
1565	18241	28352
1566	18251	28338
1567	18262	28325
1568	18273	28312
1569	18284	28300
1570	18295	28287
1571	18306	28275
1572	18316	28261
1573	18328	28248
1574	18339	28236
1575	18349	28222
1576	18360	28210
1577	18371	28197
1578	18383	28186
1579	18395	28174
1580	18407	28164
1581	18418	28151
1582	18428	28137
1583	18439	28125
1584	18450	28112
1585	18461	28099
1586	18472	28086
1587	18483	28074
1588	18493	28060
1589	18504	28047
1590	18515	28035
1591	18525	28021
1592	18536	28009
1593	18548	27996
1594	18558	27983
1595	18568	27969
1596	18579	27956
1597	18589	27942
1598	18600	27929
1599	18610	27916
1600	18621	27902
1601	18632	27889
1602	18642	27876
1603	18653	27863
1604	18664	27851
1605	18674	27837
1606	18685	27824
1607	18696	27812
1608	18706	27798
1609	18717	27786
1610	18729	27774
1611	18739	27760
1612	18750	27747
1613	18761	27735
1614	18771	27722
1615	18782	27709
1616	18793	27696
1617	18804	27683
1618	18814	27670
1619	18825	27657
1620	18836	27644
1621	18846	27630
1622	18857	27618
1623	18867	27604
1624	18878	27592
1625	18890	27579
1626	18900	27566
1627	18911	27553
1628	18922	27541
1629	18932	27528
1630	18943	27515
1631	18954	27502
1632	18964	27488
1633	18975	27475
1634	18986	27464
1635	18996	27450
1636	19007	27437
1637	19018	27424
1638	19028	27410
1639	19038	27397
1640	19049	27384
1641	19060	27371
1642	19071	27358
1643	19081	27345
1644	19091	27332
1645	19103	27320
1646	19113	27307
1647	19124	27293
1648	19135	27282
1649	19147	27270
1650	19157	27257
1651	19168	27243
1652	19179	27231
1653	19191	27220
1654	19202	27208
1655	19214	27197
1656	19225	27184
1657	19235	27171
1658	19248	27161
1659	19259	27149
1660	19269	27135
1661	19280	27122
1662	19290	27109
1663	19301	27096
1664	19312	27083
1665	19322	27070
1666	19333	27057
1667	19344	27045
1668	19355	27032
1669	19368	27022
1670	19380	27011
1671	19391	27000
