iter	Passed	Remaining
756	2505	2790
757	2509	2787
758	2512	2784
759	2516	2780
760	2519	2777
761	2522	2774
762	2526	2771
763	2529	2768
764	2533	2765
765	2536	2761
766	2540	2758
767	2543	2755
768	2547	2752
769	2550	2749
770	2553	2745
771	2557	2742
772	2560	2739
773	2563	2736
774	2567	2732
775	2570	2729
776	2574	2726
777	2577	2723
778	2580	2719
779	2584	2716
780	2587	2713
781	2591	2710
782	2594	2707
783	2597	2703
784	2601	2700
785	2604	2697
786	2607	2693
787	2610	2689
788	2613	2686
789	2617	2683
790	2620	2680
791	2623	2676
792	2627	2673
793	2630	2669
794	2633	2666
795	2636	2663
796	2640	2659
797	2643	2656
798	2646	2653
799	2649	2649
800	2652	2646
801	2656	2643
802	2659	2639
803	2663	2636
804	2666	2633
805	2669	2629
806	2672	2626
807	2676	2623
808	2679	2620
809	2683	2616
810	2686	2613
811	2689	2609
812	2692	2606
813	2696	2603
814	2699	2600
815	2702	2596
816	2705	2593
817	2709	2589
818	2712	2586
819	2715	2583
820	2718	2579
821	2722	2576
822	2725	2573
823	2729	2570
824	2732	2567
825	2735	2563
826	2739	2560
827	2742	2557
828	2745	2553
829	2749	2550
830	2752	2546
831	2755	2543
832	2758	2540
833	2762	2536
834	2765	2533
835	2768	2530
836	2771	2526
837	2775	2523
838	2778	2520
839	2781	2516
840	2785	2513
841	2788	2510
842	2791	2506
843	2794	2503
844	2798	2500
845	2801	2496
846	2804	2493
847	2808	2490
848	2811	2486
849	2814	2483
850	2818	2480
851	2821	2476
852	2824	2473
853	2828	2470
854	2831	2467
855	2835	2464
856	2838	2460
857	2841	2457
858	2844	2454
859	2848	2450
860	2851	2447
861	2854	2444
862	2858	2441
863	2861	2437
864	2865	2434
865	2868	2431
866	2872	2428
867	2875	2424
868	2878	2421
869	2881	2417
870	2884	2414
871	2888	2411
872	2891	2408
873	2895	2405
874	2898	2401
875	2902	2398
876	2905	2395
877	2909	2392
878	2912	2389
879	2916	2385
880	2919	2382
881	2922	2379
882	2926	2376
883	2929	2372
884	2933	2369
885	2936	2366
886	2939	2363
887	2943	2359
888	2946	2356
889	2950	2353
890	2953	2350
891	2957	2347
892	2960	2343
893	2963	2340
894	2967	2337
895	2970	2333
896	2974	2330
897	2977	2327
898	2980	2324
899	2984	2321
900	2987	2317
901	2991	2314
902	2994	2311
903	2998	2308
904	3001	2304
905	3005	2301
906	3008	2298
907	3012	2295
908	3015	2292
909	3019	2289
910	3022	2286
911	3026	2282
912	3029	2279
913	3032	2276
914	3036	2272
915	3039	2269
916	3042	2266
917	3046	2263
918	3049	2259
919	3053	2256
920	3056	2253
921	3060	2250
922	3063	2247
923	3067	2243
924	3070	2240
925	3074	2237
926	3077	2234
927	3080	2231
928	3084	2227
929	3087	2224
930	3091	2221
931	3094	2218
932	3098	2214
933	3101	2211
934	3104	2208
935	3108	2204
936	3111	2201
937	3114	2198
